CO_ART;ART_DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NVB40M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB41M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB42M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB43M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB44M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NVB45M602-10001;BOTIN NIKE BO JACKSON VERDE BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;VERDE BLANCO;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA40M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA41M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA42M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA43M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA44M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBA45M602-20002;BOTIN NIKE BO JACKSON BLANCO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO AZUL;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB40M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB41M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB42M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB43M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB44M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBB45M602-30003;BOTIN NIKE BO JACKSON BLANCO BEIGE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO BEIGE;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN40M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN41M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN42M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN43M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN44M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NBN45M602-40004;BOTIN NIKE BO JACKSON BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;BLANCO NEGRO;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB40M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB41M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB42M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB43M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB44M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNB45M602-60006;BOTIN NIKE BO JACKSON NEGRO BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO BLANCO;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA40M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;40;NIKE;;;3;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA41M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA42M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA43M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;43;NIKE;;;5;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA44M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NNA45M602-70007;BOTIN NIKE BO JACKSON NEGRO AZUL;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;NEGRO AZUL;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN40M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;40;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN41M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;41;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN42M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;42;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN43M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;43;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN44M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;44;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
NGN45M602-80008;BOTIN NIKE BO JACKSON GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;BO JACKSON;GRIS NEGRO;45;NIKE;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;M602
JNR40MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;40;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR41MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;41;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR42MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;42;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR43MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;43;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR44MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;44;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR45MJ810-10001;BOTIN JORDAN RETRO 7 NEGRO ROJO ;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 7;NEGRO ROJO;45;JORDAN;;;4;;;;;;1;55;0005700003577CI11;1;25998807;;MJ810
JNR40MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;40;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JNR41MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;41;JORDAN;;;6;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JNR42MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;42;JORDAN;;;6;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JNR43MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;43;JORDAN;;;6;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JNR44MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;44;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JNR45MJ811-10001;BOTIN JORDAN RETRO 8 NEGRO ROJO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 8;NEGRO ROJO;45;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;MJ811
JBN40M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;40;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN41M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;41;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN42M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;42;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN43M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;43;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN44M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;44;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBN45M813-10001;BOTIN JORDAN RETRO 3 BLANCO NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO NEGRO;45;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG40M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;40;JODAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG41M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;41;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG42M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;42;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG43M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;43;JORDAN;;;2;;;;;;1;55;0005700003577CI11;1;25998807;;M813
JBG44M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;44;JORDAN;;;2;;;;;;1;40;0005700003577CI11;1;25998807;;M813
JBG45M813-30003;BOTIN JORDAN RETRO 3 BLANCO GRIS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;BOTIN;RETRO 3;BLANCO GRIS;45;JORDAN;;;2;;;;;;1;40;0005700003577CI11;1;25998807;;M813
NAB35AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;35;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB36AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;36;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB37AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;37;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB38AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;38;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB39AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;39;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NAB40AD4-10422;ZAPATO NIKE AIR FORCE BLANCO CAMALEON;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;40;NIKE;;;6;;;;;;1;40;0005700003577CI11;1;25998807;;AD4
NDC39AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;39;NIKE;;;5;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC40AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;40;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC41AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;41;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC42AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;42;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDCA43D3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;43;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC44AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;44;NIKE;;;10;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
NDC45AD3-10410;ZAPATO NIKE DUNK CAMALEON;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR FORCE CAMALEON;CAMALEON;45;NIKE;;;5;;;;;;1;40;0005700003577CI11;1;25998807;;AD3
